LocationDesc,Current Smoking %,Gender,Race,Age,Education
Alabama,21.9,Overall,White,All Ages,All Grades
Alabama,20.1,Overall,African American,All Ages,All Grades
Alabama,19.4,Overall,Hispanic,All Ages,All Grades
Alabama,13.9,Overall,Asian/Pacific Islander,All Ages,All Grades
Alabama,36.5,Overall,American Indian/Alaska Native,All Ages,All Grades
Alaska,16.7,Overall,White,All Ages,All Grades
Alaska,19.5,Overall,African American,All Ages,All Grades
Alaska,16.8,Overall,Hispanic,All Ages,All Grades
Alaska,24,Overall,Asian/Pacific Islander,All Ages,All Grades
Alaska,33,Overall,American Indian/Alaska Native,All Ages,All Grades
Arizona,16.1,Overall,White,All Ages,All Grades
Arizona,15.6,Overall,African American,All Ages,All Grades
Arizona,13.4,Overall,Hispanic,All Ages,All Grades
Arizona,11.1,Overall,Asian/Pacific Islander,All Ages,All Grades
Arizona,19.1,Overall,American Indian/Alaska Native,All Ages,All Grades
Arkansas,24.7,Overall,White,All Ages,All Grades
Arkansas,28.1,Overall,African American,All Ages,All Grades
Arkansas,16.6,Overall,Hispanic,All Ages,All Grades
Arkansas,19.2,Overall,Asian/Pacific Islander,All Ages,All Grades
Arkansas,29.3,Overall,American Indian/Alaska Native,All Ages,All Grades
California,13.5,Overall,White,All Ages,All Grades
California,18.9,Overall,African American,All Ages,All Grades
California,11,Overall,Hispanic,All Ages,All Grades
California,8.1,Overall,Asian/Pacific Islander,All Ages,All Grades
California,18.5,Overall,American Indian/Alaska Native,All Ages,All Grades
Colorado,15,Overall,White,All Ages,All Grades
Colorado,23.2,Overall,African American,All Ages,All Grades
Colorado,16.5,Overall,Hispanic,All Ages,All Grades
Colorado,9.4,Overall,Asian/Pacific Islander,All Ages,All Grades
Colorado,32.4,Overall,American Indian/Alaska Native,All Ages,All Grades
Connecticut,13.5,Overall,White,All Ages,All Grades
Connecticut,17.7,Overall,African American,All Ages,All Grades
Connecticut,17.9,Overall,Hispanic,All Ages,All Grades
Connecticut,10.6,Overall,Asian/Pacific Islander,All Ages,All Grades
Connecticut,27.9,Overall,American Indian/Alaska Native,All Ages,All Grades
Delaware,19.9,Overall,White,All Ages,All Grades
Delaware,17.2,Overall,African American,All Ages,All Grades
Delaware,11.9,Overall,Hispanic,All Ages,All Grades
Delaware,13.2,Overall,Asian/Pacific Islander,All Ages,All Grades
Alabama,25.3,Overall,All Races,Age 25 and Older,12th Grade
Delaware,,Overall,American Indian/Alaska Native,All Ages,All Grades
District of Columbia,7.1,Overall,White,All Ages,All Grades
District of Columbia,25.3,Overall,African American,All Ages,All Grades
District of Columbia,12.1,Overall,Hispanic,All Ages,All Grades
District of Columbia,6.4,Overall,Asian/Pacific Islander,All Ages,All Grades
District of Columbia,,Overall,American Indian/Alaska Native,All Ages,All Grades
Florida,18.1,Overall,White,All Ages,All Grades
Florida,14.6,Overall,African American,All Ages,All Grades
Florida,14.1,Overall,Hispanic,All Ages,All Grades
Florida,15.3,Overall,Asian/Pacific Islander,All Ages,All Grades
Florida,17.5,Overall,American Indian/Alaska Native,All Ages,All Grades
Georgia,19.2,Overall,White,All Ages,All Grades
Georgia,16,Overall,African American,All Ages,All Grades
Georgia,11.1,Overall,Hispanic,All Ages,All Grades
Georgia,9.4,Overall,Asian/Pacific Islander,All Ages,All Grades
Georgia,52.2,Overall,American Indian/Alaska Native,All Ages,All Grades
Guam,14.5,Overall,White,All Ages,All Grades
Guam,,Overall,African American,All Ages,All Grades
Guam,33.7,Overall,Hispanic,All Ages,All Grades
Guam,23.7,Overall,Asian/Pacific Islander,All Ages,All Grades
Guam,35.9,Overall,American Indian/Alaska Native,All Ages,All Grades
Hawaii,11.6,Overall,White,All Ages,All Grades
Hawaii,19.5,Overall,African American,All Ages,All Grades
Hawaii,20,Overall,Hispanic,All Ages,All Grades
Hawaii,10.5,Overall,Asian/Pacific Islander,All Ages,All Grades
Hawaii,25.7,Overall,American Indian/Alaska Native,All Ages,All Grades
Idaho,14.6,Overall,White,All Ages,All Grades
Idaho,,Overall,African American,All Ages,All Grades
Idaho,12.4,Overall,Hispanic,All Ages,All Grades
Idaho,31.3,Overall,Asian/Pacific Islander,All Ages,All Grades
Idaho,24.8,Overall,American Indian/Alaska Native,All Ages,All Grades
Illinois,16.2,Overall,White,All Ages,All Grades
Illinois,20.2,Overall,African American,All Ages,All Grades
Illinois,11.9,Overall,Hispanic,All Ages,All Grades
