Loc Abbr,Loc Desc,Heart Disease Mortality per 100k,Gender,Race/Ethnicity
AK,Aleutians East,105.3,Overall,Overall
AK,Aleutians West,211.9,Overall,Overall
AK,Anchorage,257.9,Overall,Overall
AK,Bethel,351.6,Overall,Overall
AK,Bristol Bay,,Overall,Overall
AK,Denali,305.5,Overall,Overall
AK,Dillingham,411.6,Overall,Overall
AK,Fairbanks North Star,305.7,Overall,Overall
AK,Haines,295.7,Overall,Overall
AK,Juneau,295.7,Overall,Overall
AK,Kenai Peninsula,299.4,Overall,Overall
AK,Ketchikan Gateway,326.8,Overall,Overall
AK,Kodiak Island,274.8,Overall,Overall
AK,Lake and Peninsula,387,Overall,Overall
AK,Matanuska-Susitna,244.7,Overall,Overall
AK,Nome,378.8,Overall,Overall
AK,North Slope,327.4,Overall,Overall
AK,Northwest Arctic,338.3,Overall,Overall
AK,Prince of Wales-Outer Ketchikan,,Overall,Overall
AK,Sitka,261.9,Overall,Overall
AK,Skagway-Hoonah-Angoon,,Overall,Overall
AK,Southeast Fairbanks,290,Overall,Overall
AK,Valdez-Cordova,267.9,Overall,Overall
AK,Wade Hampton,377.4,Overall,Overall
AK,Wrangell-Petersburg,,Overall,Overall
AK,Yakutat,,Overall,Overall
AK,Yukon-Koyukuk,297.8,Overall,Overall
AK,Aleutians East,,Male,Overall
AK,Aleutians West,347.9,Male,Overall
AK,Anchorage,332.1,Male,Overall
AK,Bethel,489.8,Male,Overall
AK,Bristol Bay,,Male,Overall
AK,Denali,401.2,Male,Overall
AK,Dillingham,569,Male,Overall
AK,Fairbanks North Star,401.2,Male,Overall
AK,Haines,408.1,Male,Overall
AK,Juneau,368,Male,Overall
AK,Kenai Peninsula,367.1,Male,Overall
AK,Ketchikan Gateway,496.9,Male,Overall
AK,Kodiak Island,396,Male,Overall
AK,Lake and Peninsula,526.8,Male,Overall
AK,Matanuska-Susitna,306.3,Male,Overall
AK,Nome,503.6,Male,Overall
AK,North Slope,452.7,Male,Overall
AK,Northwest Arctic,453.6,Male,Overall
AK,Prince of Wales-Outer Ketchikan,,Male,Overall
AK,Sitka,312,Male,Overall
AK,Skagway-Hoonah-Angoon,,Male,Overall
AK,Southeast Fairbanks,345.1,Male,Overall
AK,Valdez-Cordova,332.2,Male,Overall
AK,Wade Hampton,507.9,Male,Overall
AK,Wrangell-Petersburg,,Male,Overall
AK,Yakutat,,Male,Overall
AK,Yukon-Koyukuk,387.9,Male,Overall
AK,Aleutians East,,Female,Overall
AK,Aleutians West,,Female,Overall
AK,Anchorage,196.5,Female,Overall
AK,Bethel,218.9,Female,Overall
AK,Bristol Bay,,Female,Overall
AK,Denali,212.9,Female,Overall
AK,Dillingham,260.4,Female,Overall
AK,Fairbanks North Star,212.2,Female,Overall
AK,Haines,228.2,Female,Overall
AK,Juneau,228.2,Female,Overall
AK,Kenai Peninsula,213.9,Female,Overall
AK,Ketchikan Gateway,164.3,Female,Overall
AK,Kodiak Island,174.5,Female,Overall
AK,Lake and Peninsula,226.9,Female,Overall
AK,Matanuska-Susitna,199.4,Female,Overall
AK,Nome,279,Female,Overall
