Age,Gender,Education Level
48,0,2
72,0,4
60,1,1
24,1,3
22,0,1
76,1,3
12,0,4
41,0,2
36,1,3
18,0,3
31,0,2
38,0,4
59,1,2
52,0,4
49,0,1
73,0,4
65,1,1
53,0,4
78,1,4
75,0,1
77,1,1
67,1,1
29,1,1
68,1,1
71,1,3
56,0,4
34,1,3
42,0,3
39,0,1
45,0,1
15,1,1
32,0,2
35,0,4
80,1,1
14,0,4
61,1,1
13,1,4
21,0,1
40,0,3
46,0,3
54,0,1
28,0,2
69,1,1
63,0,1
20,0,4
26,1,4
62,0,1
17,1,3
37,0,4
50,0,1
47,0,1
64,0,3
55,0,1
70,0,3
16,0,4
19,1,3
57,0,4
43,0,3
27,0,1
25,1,4
10,0,4
44,1,4
33,0,3
79,0,4
66,0,3
58,0,3
51,1,4
11,1,1
23,0,4
30,0,4
74,1,3
34,0,1
27,0,3
54,0,3
75,0,1
47,1,3
75,0,3
47,1,1
13,0,1
70,1,2
74,1,3
75,1,2
26,0,1
77,0,3
69,1,1
21,1,4
17,0,3
45,0,3
54,0,1
62,0,1
52,0,4
38,1,4
34,1,1
20,1,1
65,1,3
75,1,4
67,1,4
41,0,3
52,1,1
54,0,1
15,0,2
13,1,3
52,1,2
18,1,3
10,0,3
43,1,3
28,0,1
64,0,1
22,1,1
56,0,1
66,0,1
61,1,4
79,0,1
25,1,1
44,0,1
33,0,1
22,1,4
63,1,2
33,1,2
28,0,3
75,0,4
24,1,1
62,0,1
51,1,1
38,0,2
68,0,2
11,0,4
42,1,3
36,1,4
77,0,4
31,1,2
47,0,4
70,0,2
32,1,4
48,1,1
56,1,2
58,1,4
41,0,2
33,1,4
56,0,4
33,0,1
40,1,1
34,1,4
67,1,3
20,0,2
74,1,2
35,0,1
10,0,4
11,0,2
31,1,2
55,1,4
61,0,2
77,1,2
35,1,1
24,1,1
51,0,3
18,1,4
25,1,2
16,0,4
34,0,2
62,1,2
26,1,3
37,1,2
54,1,3
74,1,1
18,0,3
71,1,2
35,0,4
38,1,3
74,0,1
31,1,1
56,1,1
50,1,2
55,0,2
17,0,2
53,0,4
26,0,4
16,1,3
12,0,3
29,0,1
50,0,4
37,1,2
13,1,3
56,1,2
72,0,1
21,0,4
35,1,4
72,1,3
40,1,3
13,1,2
27,0,2
65,0,3
39,0,3
28,1,4
48,1,1
22,0,3
27,1,4
74,0,1
65,0,1
37,0,3
54,1,3
36,1,3
50,0,1
63,0,2
13,0,1
